,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
356,1644,0.0,0.594242,2.878578,-2317256.841081,54162.31997
357,1643,0.0,0.594102,2.865878,-2317257.435183,54206.486505
358,1642,0.0,0.593954,2.853245,-2317258.029137,54250.458564
359,1641,0.0,0.593798,2.840681,-2317258.622934,54294.237189
360,1640,0.0,0.593634,2.828184,-2317259.216568,54337.823414
361,1639,0.0,0.593462,2.815753,-2317259.81003,54381.218268
362,1638,0.0,0.593283,2.803389,-2317260.403312,54424.422771
363,1637,0.0,0.593096,2.791091,-2317260.996409,54467.437936
364,1636,0.0,0.592903,2.778859,-2317261.589311,54510.26477
365,1635,0.0,0.592702,2.766692,-2317262.182013,54552.904272
366,1634,0.0,0.592495,2.754589,-2317262.774508,54595.357435
367,1633,0.0,0.59228,2.74255,-2317263.366789,54637.625244
368,1632,0.0,0.59206,2.730575,-2317263.958848,54679.708678
369,1631,0.0,0.591833,2.718663,-2317264.550681,54721.608709
370,1630,0.0,0.591599,2.706814,-2317265.14228,54763.326302
371,1629,0.0,0.59136,2.695028,-2317265.73364,54804.862417
372,1628,0.0,0.591114,2.683303,-2317266.324754,54846.218005
373,1627,0.0,0.590862,2.67164,-2317266.915616,54887.394012
374,1626,0.0,0.590605,2.660038,-2317267.506221,54928.391377
375,1625,0.0,0.590342,2.648496,-2317268.096563,54969.211033
376,1624,0.0,0.590074,2.637015,-2317268.686637,55009.853907
377,1623,0.0,0.5898,2.625594,-2317269.276436,55050.320919
378,1622,0.0,0.58952,2.614232,-2317269.865957,55090.612983
379,1621,0.0,0.589236,2.60293,-2317270.455193,55130.731007
380,1620,0.0,0.588946,2.591686,-2317271.044139,55170.675893
381,1619,0.0,0.588652,2.5805,-2317271.632791,55210.448536
382,1618,0.0,0.588353,2.569372,-2317272.221144,55250.049827
383,1617,0.0,0.588049,2.558302,-2317272.809193,55289.480649
384,1616,0.0,0.58774,2.547289,-2317273.396933,55328.74188
385,1615,0.0,0.587427,2.536332,-2317273.98436,55367.834392
386,1614,0.0,0.587109,2.525432,-2317274.571469,55406.759053
387,1613,0.0,0.586787,2.514588,-2317275.158256,55445.516721
388,1612,0.0,0.586461,2.503799,-2317275.744717,55484.108253
389,1611,0.0,0.586131,2.493066,-2317276.330848,55522.534497
390,1610,0.0,0.585797,2.482387,-2317276.916645,55560.796297
391,1609,0.0,0.585458,2.471764,-2317277.502103,55598.894492
392,1608,0.0,0.585116,2.461194,-2317278.087219,55636.829914
393,1607,0.0,0.58477,2.450678,-2317278.671989,55674.60339
394,1606,0.0,0.58442,2.440215,-2317279.256409,55712.215743
395,1605,0.0,0.584067,2.429806,-2317279.840477,55749.667788
396,1604,0.0,0.58371,2.419449,-2317280.424187,55786.960337
397,1603,0.0,0.58335,2.409145,-2317281.007538,55824.094196
398,1602,0.0,0.582987,2.398893,-2317281.590524,55861.070166
399,1601,0.0,0.58262,2.388692,-2317282.173145,55897.889042
400,1600,0.0,0.58225,2.378543,-2317282.755395,55934.551614
401,1599,0.0,0.581877,2.368445,-2317283.337272,55971.058669
402,1598,0.0,0.581501,2.358398,-2317283.918773,56007.410986
403,1597,0.0,0.581122,2.348401,-2317284.499895,56043.609341
404,1596,0.0,0.58074,2.338455,-2317285.080635,56079.654504
405,1595,0.0,0.580355,2.328558,-2317285.66099,56115.54724
406,1594,0.0,0.579968,2.31871,-2317286.240958,56151.288311
407,1593,0.0,0.579578,2.308912,-2317286.820536,56186.878472
408,1592,0.0,0.579185,2.299163,-2317287.399721,56222.318474
409,1591,0.0,0.57879,2.289462,-2317287.978511,56257.609063
410,1590,0.0,0.578392,2.279809,-2317288.556903,56292.750981
411,1589,0.0,0.577992,2.270204,-2317289.134895,56327.744965
412,1588,0.0,0.577589,2.260647,-2317289.712485,56362.591747
413,1587,0.0,0.577185,2.251137,-2317290.289669,56397.292054
414,1586,0.0,0.576778,2.241674,-2317290.866447,56431.84661
415,1585,0.0,0.576369,2.232258,-2317291.442816,56466.256134
416,1584,0.0,0.575957,2.222888,-2317292.018773,56500.521338
