,Homo-naive,Homo-activated
2700046G09Rik,0.40961593276006275,0.09738716519774064
Rpl9-ps6,5.673239767196389,4.643780986681161
Minpp1,2.867311529320439,2.5068108111995984
Gm36419,1e-323,1e-323
Papss2,1e-323,1e-323
Atad1,2.662503562940408,4.132450409981145
Pten,3.484613165834991,2.115800841543523
Lipo3,0.20480796638003138,0.31307169504100785
Lipo2,1e-323,1e-323
Lipm,1e-323,1e-323
Ankrd22,1e-323,1e-323
Stambpl1,1.638463731040251,0.7455045409703129
Acta2,1e-323,1e-323
Fas,2.547019523778437,2.4441929999882985
Ch25h,1e-323,1e-323
Gm26902,1e-323,1e-323
Lipa,2.252887630180346,0.5366943343560132
Ifit2,2.0480796638003134,0.044724527863001115
Ifit3,3.1883309746591744,1e-323
Ifit1bl1,2.457695596560377,0.044724527863001115
Ifit3b,0.555975316562474,1e-323
Ifit1bl2,0.40961593276006275,1e-323
Ifit1,2.967166114882337,0.2236226393150056
Slc16a12,1e-323,1e-323
Pank1,0.20480796638003138,1e-323
Kif20b,0.20480796638003138,0.3107610851480315
Htr7,1e-323,1e-323
Rpp30,1.843271697420282,2.202228312993772
Ankrd1,1e-323,1e-323
Gm32081,1e-323,1e-323
Gm32027,1e-323,1e-323
Gm50147,1e-323,1e-323
Gm47735,1e-323,1e-323
Pcgf5,2.9689112347411166,2.6712691774356814
F530104D19Rik,1e-323,0.044724527863001115
Hectd2,1e-323,0.4587836916842045
Hectd2os,1e-323,0.2236226393150056
Tnks2,3.9299822352532874,1.845134041653884
Fgfbp3,0.8192318655201255,0.33554503494506677
Btaf1,1.472813124585776,2.2233913958415275
Cpeb3,1e-323,0.044724527863001115
A330032B11Rik,1e-323,1e-323
March5,2.9689112347411166,5.1270447671130706
Ide,1.907178961242236,3.384795191420692
Kif11,1e-323,1e-323
Hhex,1e-323,1e-323
Exoc6,2.3348648397253777,1.7081042219052507
Cyp26c1,1e-323,1e-323
Cyp26a1,1e-323,1e-323
Myof,1e-323,1e-323
I830134H01Rik,1e-323,1e-323
Cep55,1e-323,0.1431346964160124
Ffar4,1e-323,1e-323
Fra10ac1,1.843271697420282,1.419768309934931
Lgi1,1e-323,1e-323
Slc35g1,1e-323,0.31307169504100785
Plce1,1e-323,1e-323
Noc3l,1.2517421168708742,3.803993234206194
Tbc1d12,1e-323,0.14553786029437668
Hells,0.6144238991400942,1.3095447682263035
Pdlim1,6.3303311709330785,2.9585655431800792
Sorbs1,0.20480796638003138,0.08944905572600223
A930028N01Rik,1e-323,1e-323
Aldh18a1,0.20480796638003138,2.4333696932658078
Gm27042,1e-323,1e-323
Tctn3,1e-323,0.13417358358900333
Entpd1,1e-323,0.044724527863001115
Cc2d2b,1e-323,1e-323
Ccnj,1e-323,0.09738716519774064
Zfp518a,0.6144238991400942,0.5366943343560132
Blnk,1e-323,1e-323
Dntt,1e-323,1e-323
Tm9sf3,7.622259065962564,8.64597604699317
Pik3ap1,1e-323,1e-323
Lcor,1.4336557646602197,0.6617646670564762
Slit1,1e-323,1e-323
Arhgap19,1e-323,1e-323
Frat1,0.6144238991400942,0.044724527863001115
Frat2,2.547019523778437,0.2683471671780067
Rrp12,0.2991182748563135,2.340380518434798
Pgam1,3.798885958012983,15.765601182972482
Exosc1,4.311058120970695,4.702686208038404
Zdhhc16,0.8192318655201255,0.6040643783200164
Mms19,3.07211949570047,1.1319538035222658
Ubtd1,0.6144238991400942,0.40252075076701
Ankrd2,1e-323,1e-323
Hoga1,1e-323,1e-323
Morn4,1e-323,1e-323
Pi4k2a,1.4336557646602197,0.9300860731792844
