,remain_iter,pie_delta,loglik_delta,alpha_l2norm_delta,loglik,alpha_sum
321,1679,0.0,0.030607,0.116992,-10474910.042639,47797.473082
322,1678,0.0,0.030012,0.114844,-10474910.012627,47799.666457
323,1677,0.0,0.029429,0.112735,-10474909.983198,47801.819567
324,1676,0.0,0.028858,0.110666,-10474909.954341,47803.933154
325,1675,0.0,0.028298,0.108634,-10474909.926042,47806.007942
326,1674,0.0,0.02775,0.10664,-10474909.898292,47808.044647
327,1673,0.0,0.027213,0.104682,-10474909.871079,47810.043966
328,1672,0.0,0.026687,0.102761,-10474909.844392,47812.006588
329,1671,0.0,0.026172,0.100875,-10474909.81822,47813.933188
330,1670,0.0,0.025666,0.099023,-10474909.792554,47815.824426
331,1669,0.0,0.025172,0.097206,-10474909.767382,47817.680952
332,1668,0.0,0.024687,0.095421,-10474909.742696,47819.503405
333,1667,0.0,0.024211,0.09367,-10474909.718484,47821.292411
334,1666,0.0,0.023746,0.091951,-10474909.694738,47823.048584
335,1665,0.0,0.023289,0.090263,-10474909.671449,47824.772527
336,1664,0.0,0.022842,0.088607,-10474909.648607,47826.464832
337,1663,0.0,0.022404,0.086981,-10474909.626203,47828.126082
338,1662,0.0,0.021975,0.085384,-10474909.604228,47829.756845
339,1661,0.0,0.021554,0.083817,-10474909.582675,47831.357683
340,1660,0.0,0.021141,0.082279,-10474909.561534,47832.929144
341,1659,0.0,0.020737,0.080769,-10474909.540797,47834.47177
342,1658,0.0,0.02034,0.079287,-10474909.520457,47835.986088
343,1657,0.0,0.019952,0.077832,-10474909.500505,47837.472619
344,1656,0.0,0.019571,0.076404,-10474909.480934,47838.931874
345,1655,0.0,0.019198,0.075002,-10474909.461736,47840.364353
346,1654,0.0,0.018832,0.073626,-10474909.442904,47841.770548
347,1653,0.0,0.018473,0.072275,-10474909.424431,47843.150943
348,1652,0.0,0.018122,0.070949,-10474909.406309,47844.506009
349,1651,0.0,0.017777,0.069647,-10474909.388532,47845.836214
350,1650,0.0,0.017439,0.068369,-10474909.371093,47847.142013
351,1649,0.0,0.017108,0.067114,-10474909.353986,47848.423854
352,1648,0.0,0.016783,0.065883,-10474909.337203,47849.682177
353,1647,0.0,0.016464,0.064674,-10474909.320738,47850.917415
354,1646,0.0,0.016152,0.063488,-10474909.304586,47852.129991
355,1645,0.0,0.015846,0.062323,-10474909.28874,47853.32032
356,1644,0.0,0.015546,0.06118,-10474909.273194,47854.488813
357,1643,0.0,0.015252,0.060057,-10474909.257942,47855.635868
358,1642,0.0,0.014963,0.058955,-10474909.242978,47856.761881
359,1641,0.0,0.01468,0.057874,-10474909.228298,47857.867237
360,1640,0.0,0.014403,0.056812,-10474909.213895,47858.952315
361,1639,0.0,0.014131,0.05577,-10474909.199764,47860.017488
362,1638,0.0,0.013864,0.054747,-10474909.1859,47861.063122
363,1637,0.0,0.013603,0.053742,-10474909.172297,47862.089574
364,1636,0.0,0.013346,0.052757,-10474909.158951,47863.097197
365,1635,0.0,0.013095,0.051789,-10474909.145857,47864.086336
366,1634,0.0,0.012848,0.050839,-10474909.133009,47865.057331
367,1633,0.0,0.012606,0.049906,-10474909.120403,47866.010515
368,1632,0.0,0.012369,0.048991,-10474909.108034,47866.946215
369,1631,0.0,0.012136,0.048092,-10474909.095898,47867.864751
370,1630,0.0,0.011908,0.04721,-10474909.08399,47868.766439
371,1629,0.0,0.011684,0.046344,-10474909.072306,47869.651588
372,1628,0.0,0.011464,0.045494,-10474909.060842,47870.520501
373,1627,0.0,0.011249,0.044659,-10474909.049593,47871.373477
374,1626,0.0,0.011038,0.04384,-10474909.038555,47872.210807
375,1625,0.0,0.010831,0.043036,-10474909.027724,47873.032779
376,1624,0.0,0.010628,0.042247,-10474909.017096,47873.839675
377,1623,0.0,0.010429,0.041472,-10474909.006667,47874.631771
378,1622,0.0,0.010233,0.040711,-10474908.996434,47875.40934
379,1621,0.0,0.010041,0.039964,-10474908.986393,47876.172647
380,1620,0.0,0.009853,0.039231,-10474908.976539,47876.921954
